id,Name,Type,lon,lat
131,元大-景美,券商,121.541424,24.993604
132,元大-館前,券商,121.51439,25.045914
133,元大-大松山,券商,121.575128,25.040711
134,元大-南屯,券商,120.65071,24.146868
135,元大-台中文心,券商,120.694337,24.170781
136,元大-花蓮,券商,121.601384,23.989722
137,元大-東蘆,券商,121.480071,25.080658
138,元大-龍潭,券商,121.211778,24.863536
139,元大-新竹經國,券商,120.96455,24.8122
140,元大-鳳中,券商,120.352367,22.626812
141,元大-南京,券商,121.543104,25.052067
142,元大-新和平,券商,121.531728,25.02614
143,元大-樹板,券商,121.426717,24.991503
144,元大-北成功,券商,121.591874,25.068678
145,元大-水湳,券商,120.665768,24.173202
146,元大-新盛,券商,121.446502,25.038354
147,元大-基隆孝二,券商,121.740596,25.130153
148,元大-忠孝,券商,121.55628,25.041155
149,元大-復北,券商,121.543836,25.062615
150,元大-西門,券商,121.509061,25.041934
151,元大-雙和,券商,121.506773,24.99951
152,元大-土城永寧,券商,121.442132,24.976223
153,元大-赤崁,券商,120.200413,22.99391
154,元大-板橋三民,券商,121.479069,25.017654
155,元大-楊梅,券商,121.146902,24.910098
156,元大-新壢,券商,121.220252,24.958421
157,元大-鎮北,券商,120.546707,23.711106
158,元大-鑫永和,券商,121.514563,25.009951
159,元大-北員林,券商,120.573166,23.968897
160,元大-藝文,券商,121.29598,25.02353
161,元大-三重,券商,121.491014,25.059743
162,元大-永和,券商,121.521127,25.0077
163,元大-屏東,券商,120.496303,22.685486
164,元大-大天母,券商,121.525004,25.105765
165,元大-北桃園,券商,121.315864,24.991132
166,元大-台南,券商,120.217928,22.984711
167,元大-土城,券商,121.445187,24.985541
168,元大-新莊,券商,121.446523,25.039645
169,元大-淡水,券商,121.440922,25.169566
170,元大-北投,券商,121.49857,25.131039
171,元大-台中中港,券商,120.660124,24.156274
172,元大-板橋,券商,121.460122,25.007961
173,元大-左營,券商,120.289244,22.68381
174,元大-草屯,券商,120.682243,23.974063
175,元大-高雄,券商,120.316654,22.647672
176,元大-大同,券商,121.518721,25.052873
177,元大-蘆洲,券商,121.469865,25.083416
178,元大-彰化民生,券商,120.545905,24.083497
179,元大-成功,券商,121.311142,24.992508
180,元大-內湖,券商,121.593301,25.083048
181,元大-敦南,券商,121.549289,25.040568
182,元大-汐止,券商,121.653788,25.062486
183,元大-鹿港,券商,120.431579,24.055617
184,元大-大甲,券商,120.62267,24.342578
185,元大-北三重,券商,121.496264,25.068209
186,元大-豐原站前,券商,120.722463,24.255044
187,元大-民生,券商,121.564746,25.059764
188,元大-基隆,券商,121.747581,25.129165
189,元大-小港,券商,120.356637,22.567036
190,元大-苑裡,券商,120.652852,24.44029
191,元大-北屯,券商,120.685695,24.16986
192,元大-中和,券商,121.502275,24.999659
193,元大-東港,券商,120.457756,22.470233
194,元大-嘉義,券商,120.44729,23.48344
